snapshot_utc,terminal,gas_day,period_from,period_to,indicator,period_type,value_kwh,unit,operator_key,point_key,direction,flow_status,last_update
2026-09-23T21:48:32+00:00,eems,2026-09-23,2026-09-23T18:00:00+02:00,2026-09-23T19:00:00+02:00,Physical Flow,hour,10398056,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-23T20:16:50+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-23,2026-09-23T19:00:00+02:00,2026-09-23T20:00:00+02:00,Physical Flow,hour,10405833,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-23T21:29:09+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-23,2026-09-23T20:00:00+02:00,2026-09-23T21:00:00+02:00,Physical Flow,hour,10418889,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-23T22:35:15+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-23,2026-09-23T21:00:00+02:00,2026-09-23T22:00:00+02:00,Physical Flow,hour,10403056,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-23T23:29:09+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-23,2026-09-23T22:00:00+02:00,2026-09-23T23:00:00+02:00,Physical Flow,hour,0,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-23T23:29:09+02:00
2026-09-23T21:48:32+00:00,zeebrugge,2026-09-22,2026-09-22T06:00:00+02:00,2026-09-22T07:00:00+02:00,Physical Flow,hour,10453332,kWh/h,BE-TSO-0001,LNG-00017,entry,Provisional,2026-09-23T23:01:12+02:00
2026-09-23T21:48:32+00:00,zeebrugge,2026-09-22,2026-09-22T07:00:00+02:00,2026-09-22T08:00:00+02:00,Physical Flow,hour,10509121,kWh/h,BE-TSO-0001,LNG-00017,entry,Provisional,2026-09-23T23:01:12+02:00
2026-09-23T21:48:32+00:00,zeebrugge,2026-09-22,2026-09-22T08:00:00+02:00,2026-09-22T09:00:00+02:00,Physical Flow,hour,10497561,kWh/h,BE-TSO-0001,LNG-00017,entry,Provisional,2026-09-23T23:01:12+02:00
2026-09-23T21:48:32+00:00,zeebrugge,2026-09-22,2026-09-22T09:00:00+02:00,2026-09-22T10:00:00+02:00,Physical Flow,hour,10322309,kWh/h,BE-TSO-0001,LNG-00017,entry,Provisional,2026-09-23T23:01:12+02:00
2026-09-23T21:48:32+00:00,zeebrugge,2026-09-22,2026-09-22T10:00:00+02:00,2026-09-22T11:00:00+02:00,Physical Flow,hour,10378670,kWh/h,BE-TSO-0001,LNG-00017,entry,Provisional,2026-09-23T23:01:12+02:00
2026-09-23T21:48:32+00:00,zeebrugge,2026-09-22,2026-09-22T11:00:00+02:00,2026-09-22T12:00:00+02:00,Physical Flow,hour,10497451,kWh/h,BE-TSO-0001,LNG-00017,entry,Provisional,2026-09-23T23:01:12+02:00
2026-09-23T21:48:32+00:00,zeebrugge,2026-09-22,2026-09-22T12:00:00+02:00,2026-09-22T13:00:00+02:00,Physical Flow,hour,10487813,kWh/h,BE-TSO-0001,LNG-00017,entry,Provisional,2026-09-23T23:01:12+02:00
2026-09-23T21:48:32+00:00,zeebrugge,2026-09-22,2026-09-22T13:00:00+02:00,2026-09-22T14:00:00+02:00,Physical Flow,hour,10318632,kWh/h,BE-TSO-0001,LNG-00017,entry,Provisional,2026-09-23T23:01:12+02:00
2026-09-23T21:48:32+00:00,zeebrugge,2026-09-22,2026-09-22T14:00:00+02:00,2026-09-22T15:00:00+02:00,Physical Flow,hour,10013691,kWh/h,BE-TSO-0001,LNG-00017,entry,Provisional,2026-09-23T23:01:12+02:00
2026-09-23T21:48:32+00:00,zeebrugge,2026-09-22,2026-09-22T15:00:00+02:00,2026-09-22T16:00:00+02:00,Physical Flow,hour,10030387,kWh/h,BE-TSO-0001,LNG-00017,entry,Provisional,2026-09-23T23:01:12+02:00
2026-09-23T21:48:32+00:00,zeebrugge,2026-09-22,2026-09-22T16:00:00+02:00,2026-09-22T17:00:00+02:00,Physical Flow,hour,11364392,kWh/h,BE-TSO-0001,LNG-00017,entry,Provisional,2026-09-23T23:01:12+02:00
2026-09-23T21:48:32+00:00,zeebrugge,2026-09-22,2026-09-22T17:00:00+02:00,2026-09-22T18:00:00+02:00,Physical Flow,hour,11411508,kWh/h,BE-TSO-0001,LNG-00017,entry,Provisional,2026-09-23T23:01:12+02:00
2026-09-23T21:48:32+00:00,zeebrugge,2026-09-22,2026-09-22T18:00:00+02:00,2026-09-22T19:00:00+02:00,Physical Flow,hour,11451921,kWh/h,BE-TSO-0001,LNG-00017,entry,Provisional,2026-09-23T23:01:12+02:00
2026-09-23T21:48:32+00:00,zeebrugge,2026-09-22,2026-09-22T19:00:00+02:00,2026-09-22T20:00:00+02:00,Physical Flow,hour,11483205,kWh/h,BE-TSO-0001,LNG-00017,entry,Provisional,2026-09-23T23:01:12+02:00
2026-09-23T21:48:32+00:00,zeebrugge,2026-09-22,2026-09-22T20:00:00+02:00,2026-09-22T21:00:00+02:00,Physical Flow,hour,11499676,kWh/h,BE-TSO-0001,LNG-00017,entry,Provisional,2026-09-23T23:01:12+02:00
2026-09-23T21:48:32+00:00,zeebrugge,2026-09-22,2026-09-22T21:00:00+02:00,2026-09-22T22:00:00+02:00,Physical Flow,hour,11484394,kWh/h,BE-TSO-0001,LNG-00017,entry,Provisional,2026-09-23T23:01:12+02:00
2026-09-23T21:48:32+00:00,zeebrugge,2026-09-22,2026-09-22T22:00:00+02:00,2026-09-22T23:00:00+02:00,Physical Flow,hour,11471155,kWh/h,BE-TSO-0001,LNG-00017,entry,Provisional,2026-09-23T23:01:12+02:00
2026-09-23T21:48:32+00:00,zeebrugge,2026-09-22,2026-09-22T23:00:00+02:00,2026-09-23T00:00:00+02:00,Physical Flow,hour,11465363,kWh/h,BE-TSO-0001,LNG-00017,entry,Provisional,2026-09-23T23:01:12+02:00
2026-09-23T21:48:32+00:00,zeebrugge,2026-09-23,2026-09-23T00:00:00+02:00,2026-09-23T01:00:00+02:00,Physical Flow,hour,11448371,kWh/h,BE-TSO-0001,LNG-00017,entry,Provisional,2026-09-23T23:01:12+02:00
2026-09-23T21:48:32+00:00,zeebrugge,2026-09-23,2026-09-23T01:00:00+02:00,2026-09-23T02:00:00+02:00,Physical Flow,hour,11419843,kWh/h,BE-TSO-0001,LNG-00017,entry,Provisional,2026-09-23T23:01:12+02:00
2026-09-23T21:48:32+00:00,zeebrugge,2026-09-23,2026-09-23T02:00:00+02:00,2026-09-23T03:00:00+02:00,Physical Flow,hour,11379652,kWh/h,BE-TSO-0001,LNG-00017,entry,Provisional,2026-09-23T23:01:12+02:00
2026-09-23T21:48:32+00:00,zeebrugge,2026-09-23,2026-09-23T03:00:00+02:00,2026-09-23T04:00:00+02:00,Physical Flow,hour,11482150,kWh/h,BE-TSO-0001,LNG-00017,entry,Provisional,2026-09-23T23:01:12+02:00
2026-09-23T21:48:32+00:00,zeebrugge,2026-09-23,2026-09-23T04:00:00+02:00,2026-09-23T05:00:00+02:00,Physical Flow,hour,11467938,kWh/h,BE-TSO-0001,LNG-00017,entry,Provisional,2026-09-23T23:01:12+02:00
2026-09-23T21:48:32+00:00,zeebrugge,2026-09-23,2026-09-23T05:00:00+02:00,2026-09-23T06:00:00+02:00,Physical Flow,hour,11445848,kWh/h,BE-TSO-0001,LNG-00017,entry,Provisional,2026-09-23T23:01:12+02:00
2026-09-23T21:48:32+00:00,zeebrugge,2026-09-23,2026-09-23T06:00:00+02:00,2026-09-23T07:00:00+02:00,Physical Flow,hour,10055068,kWh/h,BE-TSO-0001,LNG-00017,entry,Provisional,2026-09-23T23:01:12+02:00
2026-09-23T21:48:32+00:00,zeebrugge,2026-09-23,2026-09-23T07:00:00+02:00,2026-09-23T08:00:00+02:00,Physical Flow,hour,10019160,kWh/h,BE-TSO-0001,LNG-00017,entry,Provisional,2026-09-23T23:01:12+02:00
2026-09-23T21:48:32+00:00,zeebrugge,2026-09-23,2026-09-23T08:00:00+02:00,2026-09-23T09:00:00+02:00,Physical Flow,hour,9894435,kWh/h,BE-TSO-0001,LNG-00017,entry,Provisional,2026-09-23T23:01:12+02:00
2026-09-23T21:48:32+00:00,zeebrugge,2026-09-23,2026-09-23T09:00:00+02:00,2026-09-23T10:00:00+02:00,Physical Flow,hour,9953500,kWh/h,BE-TSO-0001,LNG-00017,entry,Provisional,2026-09-23T23:01:12+02:00
